,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,James Cameron,James Cameron,James Cameron,James Cameron,Action Adventure Fantasy Sci-Fi,avatar,James Cameron James Cameron James Cameron James Cameron Action Adventure Fantasy Sci-Fi
1,Gore Verbinski,Gore Verbinski,Gore Verbinski,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: at world's end,Gore Verbinski Gore Verbinski Gore Verbinski Gore Verbinski Action Adventure Fantasy
2,Sam Mendes,Sam Mendes,Sam Mendes,Sam Mendes,Action Adventure Thriller,spectre,Sam Mendes Sam Mendes Sam Mendes Sam Mendes Action Adventure Thriller
3,Christopher Nolan,Christopher Nolan,Christopher Nolan,Christopher Nolan,Action Thriller,the dark knight rises,Christopher Nolan Christopher Nolan Christopher Nolan Christopher Nolan Action Thriller
4,Doug Walker,Doug Walker,Doug Walker,Doug Walker,Documentary,star wars: episode vii - the force awakens,Doug Walker Doug Walker Doug Walker Doug Walker Documentary
5,Andrew Stanton,Andrew Stanton,Andrew Stanton,Andrew Stanton,Action Adventure Sci-Fi,john carter,Andrew Stanton Andrew Stanton Andrew Stanton Andrew Stanton Action Adventure Sci-Fi
6,Nathan Greno,Nathan Greno,Nathan Greno,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Nathan Greno Nathan Greno Nathan Greno Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
7,Joss Whedon,Joss Whedon,Joss Whedon,Joss Whedon,Action Adventure Sci-Fi,avengers: age of ultron,Joss Whedon Joss Whedon Joss Whedon Joss Whedon Action Adventure Sci-Fi
8,David Yates,David Yates,David Yates,David Yates,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,David Yates David Yates David Yates David Yates Adventure Family Fantasy Mystery
9,Zack Snyder,Zack Snyder,Zack Snyder,Zack Snyder,Action Adventure Sci-Fi,batman v superman: dawn of justice,Zack Snyder Zack Snyder Zack Snyder Zack Snyder Action Adventure Sci-Fi
10,Bryan Singer,Bryan Singer,Bryan Singer,Bryan Singer,Action Adventure Sci-Fi,superman returns,Bryan Singer Bryan Singer Bryan Singer Bryan Singer Action Adventure Sci-Fi
11,Marc Forster,Marc Forster,Marc Forster,Marc Forster,Action Adventure,quantum of solace,Marc Forster Marc Forster Marc Forster Marc Forster Action Adventure
12,Gore Verbinski,Gore Verbinski,Gore Verbinski,Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Gore Verbinski Gore Verbinski Gore Verbinski Gore Verbinski Action Adventure Fantasy
13,Gore Verbinski,Gore Verbinski,Gore Verbinski,Gore Verbinski,Action Adventure Western,the lone ranger,Gore Verbinski Gore Verbinski Gore Verbinski Gore Verbinski Action Adventure Western
14,Zack Snyder,Zack Snyder,Zack Snyder,Zack Snyder,Action Adventure Fantasy Sci-Fi,man of steel,Zack Snyder Zack Snyder Zack Snyder Zack Snyder Action Adventure Fantasy Sci-Fi
15,Andrew Adamson,Andrew Adamson,Andrew Adamson,Andrew Adamson,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Andrew Adamson Andrew Adamson Andrew Adamson Andrew Adamson Action Adventure Family Fantasy
16,Rob Marshall,Rob Marshall,Rob Marshall,Rob Marshall,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Rob Marshall Rob Marshall Rob Marshall Rob Marshall Action Adventure Fantasy
17,Barry Sonnenfeld,Barry Sonnenfeld,Barry Sonnenfeld,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Barry Sonnenfeld Barry Sonnenfeld Barry Sonnenfeld Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
18,Peter Jackson,Peter Jackson,Peter Jackson,Peter Jackson,Adventure Fantasy,the hobbit: the battle of the five armies,Peter Jackson Peter Jackson Peter Jackson Peter Jackson Adventure Fantasy
19,Marc Webb,Marc Webb,Marc Webb,Marc Webb,Action Adventure Fantasy,the amazing spider-man,Marc Webb Marc Webb Marc Webb Marc Webb Action Adventure Fantasy
20,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,Action Adventure Drama History,robin hood,Ridley Scott Ridley Scott Ridley Scott Ridley Scott Action Adventure Drama History
21,Peter Jackson,Peter Jackson,Peter Jackson,Peter Jackson,Adventure Fantasy,the hobbit: the desolation of smaug,Peter Jackson Peter Jackson Peter Jackson Peter Jackson Adventure Fantasy
22,Chris Weitz,Chris Weitz,Chris Weitz,Chris Weitz,Adventure Family Fantasy,the golden compass,Chris Weitz Chris Weitz Chris Weitz Chris Weitz Adventure Family Fantasy
23,James Cameron,James Cameron,James Cameron,James Cameron,Drama Romance,titanic,James Cameron James Cameron James Cameron James Cameron Drama Romance
24,Anthony Russo,Anthony Russo,Anthony Russo,Anthony Russo,Action Adventure Sci-Fi,captain america: civil war,Anthony Russo Anthony Russo Anthony Russo Anthony Russo Action Adventure Sci-Fi
25,Peter Berg,Peter Berg,Peter Berg,Peter Berg,Action Adventure Sci-Fi Thriller,battleship,Peter Berg Peter Berg Peter Berg Peter Berg Action Adventure Sci-Fi Thriller
26,Colin Trevorrow,Colin Trevorrow,Colin Trevorrow,Colin Trevorrow,Action Adventure Sci-Fi Thriller,jurassic world,Colin Trevorrow Colin Trevorrow Colin Trevorrow Colin Trevorrow Action Adventure Sci-Fi Thriller
27,Sam Raimi,Sam Raimi,Sam Raimi,Sam Raimi,Action Adventure Fantasy Romance,spider-man 2,Sam Raimi Sam Raimi Sam Raimi Sam Raimi Action Adventure Fantasy Romance
28,Shane Black,Shane Black,Shane Black,Shane Black,Action Adventure Sci-Fi,iron man 3,Shane Black Shane Black Shane Black Shane Black Action Adventure Sci-Fi
29,Brett Ratner,Brett Ratner,Brett Ratner,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,Brett Ratner Brett Ratner Brett Ratner Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
30,Dan Scanlon,Dan Scanlon,Dan Scanlon,Dan Scanlon,Adventure Animation Comedy Family Fantasy,monsters university,Dan Scanlon Dan Scanlon Dan Scanlon Dan Scanlon Adventure Animation Comedy Family Fantasy
31,Michael Bay,Michael Bay,Michael Bay,Michael Bay,Action Adventure Sci-Fi,transformers: revenge of the fallen,Michael Bay Michael Bay Michael Bay Michael Bay Action Adventure Sci-Fi
32,Michael Bay,Michael Bay,Michael Bay,Michael Bay,Action Adventure Sci-Fi,transformers: age of extinction,Michael Bay Michael Bay Michael Bay Michael Bay Action Adventure Sci-Fi
33,Marc Webb,Marc Webb,Marc Webb,Marc Webb,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,Marc Webb Marc Webb Marc Webb Marc Webb Action Adventure Fantasy Sci-Fi
34,John Lasseter,John Lasseter,John Lasseter,John Lasseter,Adventure Animation Comedy Family Sport,cars 2,John Lasseter John Lasseter John Lasseter John Lasseter Adventure Animation Comedy Family Sport
35,Martin Campbell,Martin Campbell,Martin Campbell,Martin Campbell,Action Adventure Sci-Fi,green lantern,Martin Campbell Martin Campbell Martin Campbell Martin Campbell Action Adventure Sci-Fi
36,Lee Unkrich,Lee Unkrich,Lee Unkrich,Lee Unkrich,Adventure Animation Comedy Family Fantasy,toy story 3,Lee Unkrich Lee Unkrich Lee Unkrich Lee Unkrich Adventure Animation Comedy Family Fantasy
37,McG,McG,McG,McG,Action Adventure Sci-Fi,terminator salvation,McG McG McG McG Action Adventure Sci-Fi
38,James Wan,James Wan,James Wan,James Wan,Action Crime Thriller,furious 7,James Wan James Wan James Wan James Wan Action Crime Thriller
39,Marc Forster,Marc Forster,Marc Forster,Marc Forster,Action Adventure Horror Sci-Fi Thriller,world war z,Marc Forster Marc Forster Marc Forster Marc Forster Action Adventure Horror Sci-Fi Thriller
40,Bryan Singer,Bryan Singer,Bryan Singer,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,Bryan Singer Bryan Singer Bryan Singer Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
41,J.J. Abrams,J.J. Abrams,J.J. Abrams,J.J. Abrams,Action Adventure Sci-Fi,star trek into darkness,J.J. Abrams J.J. Abrams J.J. Abrams J.J. Abrams Action Adventure Sci-Fi
42,Bryan Singer,Bryan Singer,Bryan Singer,Bryan Singer,Adventure Fantasy,jack the giant slayer,Bryan Singer Bryan Singer Bryan Singer Bryan Singer Adventure Fantasy
43,Mike Newell,Mike Newell,Mike Newell,Mike Newell,Action Adventure Fantasy Romance,prince of persia: the sands of time,Mike Newell Mike Newell Mike Newell Mike Newell Action Adventure Fantasy Romance
44,Guillermo del Toro,Guillermo del Toro,Guillermo del Toro,Guillermo del Toro,Action Adventure Sci-Fi,pacific rim,Guillermo del Toro Guillermo del Toro Guillermo del Toro Guillermo del Toro Action Adventure Sci-Fi
45,Michael Bay,Michael Bay,Michael Bay,Michael Bay,Action Adventure Sci-Fi,transformers: dark of the moon,Michael Bay Michael Bay Michael Bay Michael Bay Action Adventure Sci-Fi
46,Steven Spielberg,Steven Spielberg,Steven Spielberg,Steven Spielberg,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Steven Spielberg Steven Spielberg Steven Spielberg Steven Spielberg Action Adventure Fantasy
47,Peter Sohn,Peter Sohn,Peter Sohn,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,Peter Sohn Peter Sohn Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
48,Mark Andrews,Mark Andrews,Mark Andrews,Mark Andrews,Adventure Animation Comedy Family Fantasy,brave,Mark Andrews Mark Andrews Mark Andrews Mark Andrews Adventure Animation Comedy Family Fantasy
49,Justin Lin,Justin Lin,Justin Lin,Justin Lin,Action Adventure Sci-Fi Thriller,star trek beyond,Justin Lin Justin Lin Justin Lin Justin Lin Action Adventure Sci-Fi Thriller
50,Andrew Stanton,Andrew Stanton,Andrew Stanton,Andrew Stanton,Adventure Animation Family Sci-Fi,wall·e,Andrew Stanton Andrew Stanton Andrew Stanton Andrew Stanton Adventure Animation Family Sci-Fi
51,Brett Ratner,Brett Ratner,Brett Ratner,Brett Ratner,Action Comedy Crime Thriller,rush hour 3,Brett Ratner Brett Ratner Brett Ratner Brett Ratner Action Comedy Crime Thriller
52,Roland Emmerich,Roland Emmerich,Roland Emmerich,Roland Emmerich,Action Adventure Sci-Fi,2012,Roland Emmerich Roland Emmerich Roland Emmerich Roland Emmerich Action Adventure Sci-Fi
53,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Animation Drama Family Fantasy,a christmas carol,Robert Zemeckis Robert Zemeckis Robert Zemeckis Robert Zemeckis Animation Drama Family Fantasy
54,Lana Wachowski,Lana Wachowski,Lana Wachowski,Lana Wachowski,Action Adventure Sci-Fi,jupiter ascending,Lana Wachowski Lana Wachowski Lana Wachowski Lana Wachowski Action Adventure Sci-Fi
55,Andrew Adamson,Andrew Adamson,Andrew Adamson,Andrew Adamson,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson Andrew Adamson Andrew Adamson Andrew Adamson Adventure Family Fantasy
56,Bryan Singer,Bryan Singer,Bryan Singer,Bryan Singer,Action Adventure Sci-Fi,x-men: apocalypse,Bryan Singer Bryan Singer Bryan Singer Bryan Singer Action Adventure Sci-Fi
57,Christopher Nolan,Christopher Nolan,Christopher Nolan,Christopher Nolan,Action Crime Drama Thriller,the dark knight,Christopher Nolan Christopher Nolan Christopher Nolan Christopher Nolan Action Crime Drama Thriller
58,Pete Docter,Pete Docter,Pete Docter,Pete Docter,Adventure Animation Comedy Family,up,Pete Docter Pete Docter Pete Docter Pete Docter Adventure Animation Comedy Family
